EMP_Key,EMP_CODE,EMP_NAME,EMP_SALARY,EMP_DOB,EMP_GENDER,HIRE_DATE,TOTAL_EXP,REFERENCE_TABLE,ETLUpdateTime,Created_On,Modified_On
24,E036,Melton Damian Chaim,1073.0,1976-06-13,,2009-03-27,15,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
25,E037,Delgado Reese Amethyst,1458.0,1975-06-04,,1996-01-31,28,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
26,E039,Knapp Brock Naida,1364.0,1977-11-06,,2002-04-05,22,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
27,E04,Daniel Orli Denton,1387.0,1987-08-15,,1991-10-23,33,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
28,E040,Dixon Nathaniel Quon,1062.0,1975-07-27,,1995-01-18,29,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
29,E041,Casey Quinn Josephine,1063.0,1985-02-08,M,2001-02-19,23,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
30,E042,Hoover Fuller Adara,1033.0,1985-09-04,M,1996-06-06,28,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
31,E043,Pearson Isadora Mira,1031.0,1988-03-22,M,1987-11-22,37,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
32,E044,Snider Giselle Ursula,1430.0,1977-12-30,,2008-06-04,16,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
33,E045,Carey Alyssa Kristen,1309.0,1977-02-10,M,2009-01-29,15,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
34,E046,Weiss Lance Halee,1451.0,1984-10-30,M,2007-11-26,17,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
35,E047,Holmes Brett Hakeem,1419.0,1990-02-10,,1990-07-05,34,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
36,E049,Bartlett Mason Regina,1494.0,1977-03-24,,1999-05-24,25,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
37,E05,Ramirez Kyle Laurel,1270.0,1982-08-25,M,1996-05-25,28,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
38,E052,Barker Bevis Arthur,1170.0,1977-11-13,M,2003-02-19,21,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
39,E053,Fischer Wang Benedict,1010.0,1979-06-07,M,2002-06-12,22,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
40,E054,Hansen Jonas Noel,1475.0,1985-07-04,M,2004-06-25,20,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
41,E055,Calhoun Ulric Oren,1167.0,1981-06-25,M,1991-08-31,33,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
42,E056,Riddle Candace Declan,1404.0,1987-09-28,,2013-05-13,11,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
43,E057,Franco Benedict Hashim,1281.0,1989-07-03,,1994-07-20,30,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
44,E058,Shannon Flynn Brianna,1353.0,1983-09-28,M,1989-09-22,35,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
45,E059,Cooper Macaulay Eaton,1240.0,1977-03-13,,1992-03-15,32,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
46,E060,Conley Jessamine Cedric,1416.0,1983-05-23,,2012-11-18,12,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
47,E061,Bond Marny Lacey,1340.0,1977-06-23,,2016-10-15,8,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
48,E062,Morse Quintessa Omar,1130.0,1983-07-14,,2002-01-20,22,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
49,E063,Shaffer Eaton May,1112.0,1979-12-06,,2019-11-12,5,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
50,E064,French Laura Colorado,1146.0,1990-03-05,M,2010-11-02,14,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
51,E065,Witt Norman Amena,1385.0,1982-03-09,M,2013-02-07,11,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
52,E066,Cooley Berk Tallulah,1055.0,1975-11-10,M,2004-04-22,20,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
53,E068,Reilly Michael Ginger,1462.0,1983-02-20,,1990-04-19,34,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
54,E069,Garza Ezra Matthew,1224.0,1981-03-05,M,2000-11-10,24,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
55,E07,Jenkins Yoko Omar,1196.0,1987-02-08,,1994-01-03,30,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
56,E070,Dickerson Caryn Francesca,1176.0,1974-10-09,,1995-07-11,29,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
57,E071,Cooley Cooper Rosalyn,1383.0,1980-06-05,M,2009-10-26,15,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
58,E073,Gomez Armand Nomlanga,1137.0,1978-05-02,M,2014-09-13,10,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
59,E074,Gilbert Burke Salvador,1082.0,1976-08-24,,2002-04-18,22,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
60,E075,Jenkins Noelle Margaret,1479.0,1988-05-28,M,2005-05-25,19,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
61,E077,Hatfield Quinlan Malcolm,1478.0,1987-05-27,M,2009-04-11,15,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
62,E078,Alston Jocelyn Brynne,1444.0,1984-01-19,M,1997-09-12,27,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
63,E079,England Hermione Merrill,1243.0,1975-09-19,,2014-10-11,10,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
64,E08,Ward Quinn Carson,1357.0,1974-06-08,M,1991-06-03,33,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
65,E080,Rowe Jameson Bertha,1351.0,1978-11-18,M,1988-06-18,36,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
66,E081,Benjamin Charles Zephania,1148.0,1980-08-16,M,1992-11-26,32,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
67,E082,Anderson Elijah Garrison,1140.0,1982-02-20,,2007-10-31,17,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
68,E083,Wilcox Deacon Violet,1141.0,1981-10-05,,2017-07-26,7,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
69,E084,Stone Lance Malik,1258.0,1982-12-24,M,2009-04-27,15,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
70,E086,Beck Aretha Josephine,1154.0,1985-07-27,M,2019-11-25,5,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
71,E087,Montgomery Pamela Stacey,1396.0,1982-08-27,,1988-03-03,36,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
72,E088,Galloway Scarlet Clarke,1055.0,1988-04-28,,2019-07-11,5,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
73,E089,Ford Adrian Lillith,1244.0,1983-11-03,,2006-04-21,18,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
74,E09,Goodman Idona Wynter,1059.0,1990-01-24,,1993-03-18,31,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
75,E090,Hurley Kai Jonah,1082.0,1977-03-01,,1998-09-09,26,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.173,2024-12-20 23:15:00.447
76,E091,Johnson Jessica Jasmine,1368.0,1986-01-29,,1993-11-05,31,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.177,2024-12-20 23:15:00.447
77,E092,Meyer Camilla Patricia,1333.0,1982-01-18,,2018-06-22,6,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.177,2024-12-20 23:15:00.447
78,E093,Malone Hedley Kim,1048.0,1979-10-17,M,1988-09-24,36,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.177,2024-12-20 23:15:00.447
79,E094,Torres Thomas Amena,1441.0,1985-03-24,,2000-06-08,24,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.177,2024-12-20 23:15:00.447
80,E095,Maddox Hillary Adam,1214.0,1981-06-22,,2001-07-02,23,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.177,2024-12-20 23:15:00.447
81,E096,Stewart Calista Wynter,1052.0,1976-01-22,M,1992-09-26,32,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.177,2024-12-20 23:15:00.447
82,E098,Stevenson Destiny Jenette,1085.0,1975-09-08,M,2011-05-14,13,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.177,2024-12-20 23:15:00.447
83,E099,Meadows Axel Gary,1074.0,1985-08-09,M,2003-07-07,21,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.177,2024-12-20 23:15:00.447
84,EMP0100,Dean Bianca Emery,1293.0,1977-06-07,M,1999-06-21,25,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.160,2024-12-20 23:15:00.447
85,EMP011,Cline Lareina Doris,1473.0,1983-05-03,F,2021-01-14,3,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
86,EMP012,Larson Isaiah Noah,1415.0,1976-07-12,M,2019-09-11,5,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
87,EMP013,Wise Randall Simon,1232.0,1986-12-28,M,1991-02-20,33,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
88,EMP015,Leon Alexander Noah,1150.0,1976-09-06,F,2011-04-15,13,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
89,EMP016,Anthony Tallulah Clark,1092.0,1989-07-03,F,1993-12-26,31,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
90,EMP017,Camacho Hoyt Maile,1412.0,1981-04-28,F,1990-09-16,34,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
91,EMP019,Boyle Silas Kim,1327.0,1982-01-02,M,2019-04-18,5,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
92,EMP02,Buckley Clayton Judah,1048.0,1981-02-04,F,2019-11-23,5,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
93,EMP020,Christian Hayfa Garth,1295.0,1977-11-21,F,2002-09-10,22,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
94,EMP021,Munoz Charlotte Hedda,1363.0,1979-12-16,F,1995-02-12,29,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
95,EMP022,Kim Craig Howard,1040.0,1987-06-20,M,1992-07-09,32,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
96,EMP023,Higgins Castor Shana,1220.0,1988-06-29,F,2011-05-28,13,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
97,EMP024,Bartlett Charity Lacey,1155.0,1979-03-19,F,2008-12-29,16,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
98,EMP025,Dudley Yasir Brenden,1018.0,1980-10-30,F,2003-10-01,21,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
99,EMP026,Duncan Sydney Ivy,1098.0,1977-08-18,M,2018-04-03,6,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
100,EMP027,Wilkinson Armand Macon,1438.0,1987-12-07,M,2004-02-19,20,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
101,EMP028,Ellison Ivory Georgia,1259.0,1981-07-29,F,2012-02-23,12,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
102,EMP029,Rush Robert Marny,1394.0,1986-09-26,F,1999-12-13,25,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
103,EMP03,Thomas Philip Chandler,1026.0,1984-08-19,F,1999-07-04,25,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
104,EMP030,Oneil Wesley Dexter,1171.0,1986-02-09,F,2002-10-05,22,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
105,EMP034,Ingram Leandra Echo,1259.0,1980-09-23,F,1993-06-07,31,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
106,EMP036,Wheeler Rowan Violet,1475.0,1984-11-05,F,2021-01-01,3,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
107,EMP037,Fox Ayanna Jerome,1177.0,1974-12-26,F,2015-10-21,9,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
108,EMP038,Baird Kirsten Allistair,1046.0,1988-11-19,F,2014-12-29,10,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
109,EMP039,Holden Abra Baker,1220.0,1976-03-26,F,1993-08-03,31,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
110,EMP04,Cleveland Erin Yoko,1195.0,1983-01-27,F,2006-09-01,18,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
111,EMP040,Clayton Indira Minerva,1172.0,1975-11-13,F,2004-12-13,20,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
112,EMP041,Love Solomon Skyler,1390.0,1989-12-05,F,2009-05-04,15,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
113,EMP042,Cross Ariana Keegan,1013.0,1985-01-17,M,2011-10-25,13,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
114,EMP043,Estrada Amity Maggy,1131.0,1983-02-08,M,1990-04-25,34,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
115,EMP044,Lamb Quinn Dacey,1436.0,1982-01-22,F,1988-12-29,36,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
116,EMP045,Winters Aristotle Eaton,1425.0,1982-10-20,M,2011-07-12,13,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
117,EMP046,Suarez Harriet Rudyard,1179.0,1981-02-17,M,2018-12-05,6,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
118,EMP047,Mclean Alea Imelda,1422.0,1980-03-15,M,1996-12-07,28,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
119,EMP049,Bell Hiroko Sophia,1063.0,1974-07-25,M,2004-04-06,20,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
120,EMP050,Oneil Tamara Bevis,1227.0,1975-07-23,F,2020-04-14,4,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
121,EMP051,Gilliam Baker Uriah,1274.0,1985-05-17,F,1992-12-31,32,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
122,EMP052,Carver Bell Rae,1228.0,1977-01-14,M,1994-01-24,30,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
123,EMP053,Summers Hannah Laura,1023.0,1989-10-07,F,1994-06-23,30,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
124,EMP054,Blackwell Summer Rahim,1015.0,1978-09-28,M,1990-05-18,34,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
125,EMP055,Small Sloane Moses,1092.0,1988-02-08,M,1993-12-18,31,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
126,EMP057,Velazquez Ashely Wylie,1367.0,1983-07-02,M,1989-07-27,35,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
127,EMP058,Alston Plato Serina,1373.0,1974-10-26,M,1993-12-26,31,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
128,EMP059,Castaneda Raymond Yuri,1283.0,1977-12-18,M,2008-04-26,16,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
129,EMP06,Bennett Matthew Nora,1053.0,1983-06-12,M,2003-11-22,21,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
130,EMP060,Merritt Raja Keegan,1094.0,1980-06-21,F,1988-07-11,36,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.130,2024-12-20 23:15:00.447
131,EMP062,Mcintyre Hakeem Phyllis,1457.0,1989-09-20,F,1996-09-01,28,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.157,2024-12-20 23:15:00.447
132,EMP063,Butler Aaron Colby,1288.0,1975-04-19,M,2005-02-04,19,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.157,2024-12-20 23:15:00.447
133,EMP064,Patterson Ferris Reed,1473.0,1986-01-24,F,1996-04-15,28,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.157,2024-12-20 23:15:00.447
134,EMP065,Sexton Georgia David,1086.0,1989-01-03,F,2000-05-29,24,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.157,2024-12-20 23:15:00.447
135,EMP066,Haney Miranda Ivan,1475.0,1984-08-09,M,2015-02-04,9,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.157,2024-12-20 23:15:00.447
136,EMP067,Fisher Vivien Fallon,1100.0,1985-08-09,M,2000-05-17,24,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.157,2024-12-20 23:15:00.447
137,EMP068,Lester Yetta Elijah,1283.0,1980-12-19,F,2000-07-13,24,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.157,2024-12-20 23:15:00.447
138,EMP069,Maddox Aaron Ann,1326.0,1984-11-13,M,2013-11-14,11,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.157,2024-12-20 23:15:00.447
139,EMP07,Cherry Morgan Hannah,1189.0,1976-07-24,F,2017-09-30,7,EMP_DTS_SRC1,2024-09-05 15:23:56.877,2024-09-05 15:23:53.090,2024-12-20 23:15:00.447
